"round","col","row","i","category","clue","answer","uid"
2,6,2,57,"Add Two Letters","The Wood Used To Immobilize A Fractured Bone & Two Letters Later, The Less Painful Result Of Part Of It In Your Skin","Splint & Splinter",59
2,6,3,58,"Add Two Letters","It's The Season To Which You Add Two Letters To Get This Last Name Of Cincinnati's Mayor In 1977","Spring & Springer",59
2,6,4,59,"Add Two Letters","Add Two Letters To This Term For A Small House In The Woods & You Get This Piece Of Woodwork Inside It","Cabin & Cabinet",59
2,6,5,60,"Add Two Letters","New Or Fresh; Add Two Letters & You Get This Adjective For An Early Inhabitant Of Australia","Original & Aboriginal",59
3,1,1,61,"Political Words & Phrases","Teddy Roosevelt Used This Boxing Phrase To Announce His 1912 Candidacy & Said, 'The Fight Is On & I'M Stripped To The Buff'","'Throw A Hat In The Ring'",59
1,1,1,2,"The 50 States","It Follows Miami In The Name Of Florida's Most Populous County","Dade",60
1,1,2,12,"The 50 States","As You Might Expect, Its State Domestic Animal Is The Dairy Cow","Wisconsin",60
1,1,3,13,"The 50 States","The Westernmost Town In The Lower 48 States Is La Push In This State","Washington",60
1,1,4,14,"The 50 States","The Highest Temperature Ever Recorded In This State Was 117 Degrees On July 5, 1985 In ST. George","Utah",60
1,1,5,15,"The 50 States","This State's Kennebec River Meets With Its Main Tributary, The Androscoggin, Northeast Of Brunswick","Maine",60
1,2,1,1,"I'M Not A Doctor, But I Play One On Tv","DR. Benjamin Franklin Pierce","Alan Alda",60
1,2,2,3,"I'M Not A Doctor, But I Play One On Tv","DR. Michaela Quinn","Jane Seymour",60
1,2,3,4,"I'M Not A Doctor, But I Play One On Tv","DR. Doogie Howser","Neil Patrick Harris",60
1,2,4,5,"I'M Not A Doctor, But I Play One On Tv","DR. Leonard 'Bones' Mccoy","Deforest Kelley",60
1,2,5,6,"I'M Not A Doctor, But I Play One On Tv","DR. Joe Gannon","Chad Everett",60
1,3,1,21,"Awards","Michael Collins, Buzz Aldrin & This Man Were The First Astronauts To Receive The Presidential Medal Of Freedom","Neil Armstrong",60
1,3,2,23,"Awards","In 1912 The Int'L Committee Of The Red Cross Created A Medal For Nursing Named For This 19th Century British Woman","Florence Nightingale",60
1,3,3,24,"Awards","The Thailand Edition Of This Cbs Series Won A 2003 People's Choice Award For Best Reality Program","Survivor",60
1,3,4,25,"Awards","The Hugo & Nebula Awards Are Presented To Writers In This Genre","Science Fiction",60
1,3,5,26,"Awards","In 1965 This U.N. Secretary-General From Asia Became The First To Win The Nehru Award For Int'L Understanding","U Thant",60
1,4,1,22,"Name The Decade","Ford Motors Goes Public, DR. Seuss Pens 'The Cat In The Hat' & Ronald Reagan Weds Wife NO. 2","The 1950s",60
1,4,2,27,"Name The Decade","(Al Franken ReadS.) Chernobyl, Iran-Contra & Flock Of Seagulls Haircuts Weren't Exactly What I Had In Mind When I Named This Decade After ME...'Al Franken'","The 1980s",60
1,4,3,28,"Name The Decade","This Decade Sees A Congressional 'Compromise', The First Lincoln-Douglas Debate & The Death Of Kierkegaard","1850s",60
1,4,4,29,"Name The Decade","Edison Invents The Phonograph, U.S. Grant Is Re-Elected & Bizet Writes 'Carmen'","1870s",60
1,4,5,30,"Name The Decade","Pre-'The West Wing', The Real Josiah Bartlett Governs N.H., John Paul Jones Gives Up The Fight & The Jay Treaty Is Inked","1790s",60
1,5,1,7,"Fraidy Cat","Suriphobia, Fear Of These, May Set A Housewife Screaming While Standing On A Kitchen Chair","Mice",60
1,5,2,8,"Fraidy Cat","Gallophobia Is Not A Fear Of Wine, But A Fear Of This Country That Produces A Lot Of Wine","France",60
1,5,3,9,"Fraidy Cat","'Erythrophobia Is The Fear Of Doing This', He Said, Showing Some Embarrassment","Blushing",60
1,5,4,10,"Fraidy Cat","Hey Dude, Surfers Aren't Cymophobic; They Don't Fear These, Man","Waves",60
1,5,5,11,"Fraidy Cat","A Person With Ornithophobia & Apiphobia May Avoid A Talk On This Subject Feared By Erotophobics","The Birds And The Bees (Or Sex)",60
1,6,1,16,"Crossword Clues 'D'","Bram Stoker Novel You Can 'Count' On(7)","Dracula",60
1,6,2,17,"Crossword Clues 'D'","Samson's Locks-Smith(7)","Delilah",60
1,6,3,18,"Crossword Clues 'D'","Greek Gelt(8)","Drachmas",60
1,6,4,19,"Crossword Clues 'D'","Perry Mason's Street(5)","Della",60
1,6,5,20,"Crossword Clues 'D'","'American Tragedian' Theodore(7)","Dreiser",60
2,1,1,38,"Art History","6th Century B.C. Greece Must Have Been A Happy Place, As This Facial Expression Is Characteristic Of Its Sculpture","A Smile",60
2,1,2,39,"Art History","Carlo Carlone's Team Painted These, Originally An Italian Term, On Palace & Church Walls Across Europe","Frescoes",60
2,1,3,40,"Art History","The Frolicsome Painting Seen Here Dates From This Century","The 18th",60
2,1,4,41,"Art History","The Analytic Type Of This Style Broke The World Into Fragments; The Synthetic Type Put It Together","Cubism",60
2,1,5,42,"Art History","Georges De La Tour Mastered Candlelight In The Type Of Painting Called This, Also A Musical Term","Nocturne",60
2,2,1,56,"& Joan Rivers Runs Through It","Since 1986 When Joan Left 'The Tonight Show', This Host Has Reportedly Said 'No' When Asked 'Can We Talk?'","Johnny Carson",60
2,2,2,57,"& Joan Rivers Runs Through It","MS. R Was Miss Piggy's Coworker (We Can Only Imagine The Office Dish) When The Muppets Took This Title Place In '84","Manhattan",60
2,2,3,58,"& Joan Rivers Runs Through It","Joan Voiced Julie, Bruce Willis' New Baby Sister, In This 1989 Comedy","Look Who's Talking",60
2,2,4,59,"& Joan Rivers Runs Through It","Joan Gave A Robotic Performance As Dot Matrix In This Mel Brooks 'Star Wars' Spoof","Spaceballs",60
2,2,5,60,"& Joan Rivers Runs Through It","Joan Narrated The Electric CO.'S 'Adventures Of Letterman' Starring Him, Though It Wasn't In Wonka Vision","Gene Wilder",60
2,3,1,32,"Shakespeare's Small Parts","Nym, A Minor Character, Is A Follower Of This Stout Fellow In 'The Merry Wives Of Windsor'","Falstaff",60
2,3,2,34,"Shakespeare's Small Parts","During His Brief Time On Stage, Curtis, This Man's Aged Servant, Does Get To Say 'Shrew'","Petruchio",60
2,3,3,35,"Shakespeare's Small Parts","Those Portraying A Norwegian Captain In This Play Don't Have To Worry About Memorizing A Lot Of Lines","Hamlet",60
2,3,4,36,"Shakespeare's Small Parts","In This Fairy Tale, Snug Doesn't Get The Lion's Share Of Lines, But He Does Get The Lion's Lines","A Midsummer Night's Dream",60
2,3,5,37,"Shakespeare's Small Parts","In Act V, Scene II DR. Butts Shows Up For A Couple Of Lines With Cranmer & This Title King","Henry VIII",60
2,4,1,43,"Common Bonds","Scope,Lavoris,Listerine","Brands Of Mouthwash",60
2,4,2,44,"Common Bonds","Coral,Krait,Moccasin","Snakes",60
2,4,3,45,"Common Bonds","Quicksilver Messenger Service,Hues Corporation,Big Brother And The Holding Company","Rock Bands",60
2,4,4,46,"Common Bonds","Movies,Prospective Employees,Back Doors","Things That Are Screened",60
2,4,5,47,"Common Bonds","The Rhine Valley,A Chessboard,Vernon & Irene's Dance School","Things With Castles",60
2,5,1,48,"The 'K' Team","He Also Said, 'Ask Not What America Will Do For You, But What Together We Can Do For The Freedom Of Man'","John F. Kennedy",60
2,5,2,49,"The 'K' Team","On OcT. 6, 1951, This Magnate Died In Battle Creek, Michigan","Kellogg",60
2,5,3,50,"The 'K' Team","On August 10, 1996 Bob Dole Picked This Man To Be His Running Mate","Jack Kemp",60
2,5,4,51,"The 'K' Team","This Playwright's 'Man Who Came To Dinner' Character Sheridan Whiteside Was Such A Plum Role He Even Played It Himself","George S. Kaufman",60
2,5,5,52,"The 'K' Team","Anita O'day & June Christy Were Singers For This Man's 1940s Big Band","Stan Kenton",60
2,6,1,31,"Musical Idioms","It's The Action Heard Here; Someone Talking In Fantasies Is Said To Be Doing It","Whistling 'Dixie'",60
2,6,2,33,"Musical Idioms","To 'Pay' Him Is To Bear The Consequences Of Your Action","The Piper",60
2,6,3,53,"Musical Idioms","This Expression For What's Being Done Here Is Found In Psalm 9'You Are Magnificent, You're Marvelous, You're Triumphant, And You're GranD...'","Singing His Praises",60
2,6,4,54,"Musical Idioms","This 2-Word Phrase Can Mean A Counterfeit Bill Or, When You 'Strike' It, A Mistake In Tone","A False Note",60
2,6,5,55,"Musical Idioms","This 2-Word Part Of The Piano Is Also A Verb Meaning To Downplay Something Harsh Or Upsetting","Soft-Pedal",60
3,1,1,61,"19th Century U.S. History","Of The 5 Times Congress Has Declared War, The 3 During The 19th Century Were Against These 3 Nations","Britain, Spain, & Mexico",60
1,1,1,7,"1804","This Inventor's FeB. 7, 1804 Birth Made William & Sarah His Plowed, Er, Proud Parents","John Deere",61
1,1,2,8,"1804","In 1804 Rhode Island College Was Renamed This","Brown",61
1,1,3,9,"1804","Napoleon, Who Once Remarked, 'It Is With Baubles That Men Are Led', Presided Over The First Presentation Of This In 1804","Legion Of Honor",61
1,1,4,10,"1804","A 2004 Biography Of This President Born November 23, 1804 Is Subtitled 'New Hampshire's Favorite Son'","Franklin Pierce",61
1,1,5,11,"1804","This British Chemist Took His Last Breath Of Oxygen FeB. 6, 1804","(Joseph) Priestley",61
1,2,1,13,"Country Music Hall Of Fame","A Popular Exhibit At The Hall Of Fame Is The Actual Cornfield Used On This 'Corny' Tv Show","Hee Haw",61
1,2,2,14,"Country Music Hall Of Fame","Before Getting 'On The Road Again', He Donated A Blue Bandana & A Pair Of Sneakers To The Hall","Willie Nelson",61
1,2,3,15,"Country Music Hall Of Fame","This Inductee And One-Time San Quentin Inmate Has His Pardon From Governor Reagan Displayed At The Hall","Merle Haggard",61
1,2,4,18,"Country Music Hall Of Fame","The Country Music Hall Of Fame Has A Dress Made & Worn By This Kentucky-Born Singer As A 14-Year-Old Newlywed","Loretta Lynn",61
1,2,5,19,"Country Music Hall Of Fame","This 'Singing Brakeman' Was In The First Group Of Performers Inducted Into The Country Music Hall Of Fame","Jimmie Rodgers",61
1,3,1,1,"How Capital!","If You Know That El Castillo Del Morro Looms Over This City's Harbor, Have A Cigar","Havana",61
1,3,2,2,"How Capital!","(Hi, I'M Anderson Cooper Of CnN.) A Few Years After I Graduated From Yale, I Spent 5 Months Studying Vietnamese At The University Of This World Capital","Hanoi",61
1,3,3,3,"How Capital!","There Are Many Places To Buy Pesos In This Capital's Benito Juarez Airport","Mexico City",61
1,3,4,4,"How Capital!","It's Difficult, But Try Picturing George Bernard Shaw As A Baby When You Visit His Birthplace In This World Capital","Dublin",61
1,3,5,5,"How Capital!","This City On Honshu Island Was Once The Capital Of Japan, & Its Name Means 'Capital City'","Kyoto",61
1,4,1,26,"Chairs","Sip Some Port While Lounging On The Port Side Of A Ship In One Of These Chairs Named For Part Of A Ship","A Deck Chair",61
1,4,2,27,"Chairs","If You Want To Be Crowned King Of England, This Rock Has To Be In Your Coronation Chair","The Stone Of Scone",61
1,4,3,28,"Chairs","A Montgolfier Is A Louis XVI Chair With A Back Often Shaped Like One Of These","A Balloon",61
1,5,1,21,"Taking Stock","Babies' Bottoms Can Rest A Little Easier With Balmex, A Diaper Rash Ointment Made By 'Jnj', This Company","Johnson & Johnson",61
1,5,2,22,"Taking Stock","Let's SeE... I Need A New Hot Tub, Insulation, A Belt Sander & Some 2x4s; Time To Head Over The 'Hd', This Company","Home Depot",61
1,5,3,23,"Taking Stock","If You Enjoy Squeezing Its Charmin, You Can Thank This Company, 'Pg'","Procter & Gamble",61
1,5,4,24,"Taking Stock","Don't 'Dis' This Company, Though Shareholders Did Just That When 43% Voted Against Its Ceo At The '04 Annual Meeting","Disney",61
1,5,5,25,"Taking Stock","Ibm (Stock Symbol Ibm) Is Short For This","International Business Machines",61
1,6,1,6,"Shoot Some 'Pool'","A Group Of Commuters Traveling Together In One Vehicle","A Carpool",61
1,6,2,12,"Shoot Some 'Pool'","A Rapidly Rotating Current Of Water","Whirlpool",61
1,6,3,16,"Shoot Some 'Pool'","An Underground Container For Sewage","Cesspool",61
1,6,4,17,"Shoot Some 'Pool'","English Port City On The Mersey River","Liverpool",61
1,6,5,20,"Shoot Some 'Pool'","A Military Installation's Centrally Managed Group Of Vehicles Intended For The Use Of Personnel","The Motor Pool",61
2,1,1,29,"Classical Composers","Around 1915 Debussy Composed 12 Etudes In Memory Of This Polish-French Composer","Chopin",61
2,1,2,30,"Classical Composers","Beethoven's Father Tried To Promote Him As A Child Prodigy, Like This Salzburg-Born Genius","Mozart",61
2,1,3,38,"Classical Composers","'The Tender Land' Is A 1954 Opera By This 'Appalachian Spring' Composer","Copland",61
2,1,4,39,"Classical Composers","This Austrian Composer's Symphony NO. 8 Is Known As The 'Symphony Of A Thousand'","(Gustav) Mahler",61
2,1,5,40,"Classical Composers","He Supervised A 1907 Phonograph Recording Of His Own 'Pagliacci'","Leoncavallo",61
2,2,1,47,"British Food Words","The Starch In A British Meal Might Be A 'Jacket', Or Baked, One Of These","A Potato",61
2,2,2,58,"British Food Words","Jack The Ripper Is Cockney Rhyming Slang For This Breakfast Favorite","Kippers",61
2,2,3,57,"British Food Words","'Digestive Biscuits' Is British For These Crackers We Named After An American","Graham Crackers",61
2,2,4,56,"British Food Words","John Bull Uses Maize Flour; Uncle Sam, This 8-Letter Word","Cornmeal",61
2,2,5,55,"British Food Words","A Fruit's Seeds Become These In Britain, Like Sherlock Holmes' Case Of The 'Five Orange' Ones","Pips",61
2,3,1,36,"Weapons Of The 2nd Millennium","Around 1550 The British Called The Spanish Arquebuses 'Calivers', A Corruption Of This Word","Caliber",61
2,3,2,37,"Weapons Of The 2nd Millennium","In The 19th Century Sir William Congreve Turned A Pyrotechnic Device Into One Of These Red-Glaring Weapons","A Rocket",61
2,3,3,44,"Weapons Of The 2nd Millennium","Introduced In World War I, The Mills Bomb Was Actually One Of These Flung Weapons","A Grenade",61
2,3,4,48,"Weapons Of The 2nd Millennium","A British Weapon During Wwi Had A Cover Name Of 'Water-Closet For Russia', Which Became Water-This, Then Just This","Tank",61
2,3,5,49,"Weapons Of The 2nd Millennium","The Name Of This Short-Barreled Cannon Goes Back To The Czech Houfnice, 'Slingshot'","A Howitzer",61
2,4,1,31,"Works Of The Bard","In A Real Spoiler, The Prologue Of This Play Says That 'A Pair Of Star-Crossed Lovers Take Their Life'","Romeo And Juliet",61
2,4,2,32,"Works Of The Bard","This Tragic Title Character's First Words Are 'So Foul And Fair A Day I Have Not Seen'","Macbeth",61
2,4,3,33,"Works Of The Bard","Caius Marcius, A Roman General, Receives This Name After Capturing The City Of Corioli","Coriolanus",61
2,4,4,34,"Works Of The Bard","The Bard's Version Of This Trojan Prince's Death 'Troilus And Cressida' Has Him Killed By The Myrmidons","Hector",61
2,4,5,35,"Works Of The Bard","Shylock Asks Bassanio, 'What News On' This Commercial Heart Of Venice?","The Rialto",61
2,5,1,41,"B, M, W","Double Feature Companion To The Main Attraction","A B Movie",61
2,5,2,42,"B, M, W","Cobalamine Or Pyridoxine Or Riboflavin","Vitamin B",61
2,5,3,43,"B, M, W","Symbol For 1.094 Yards","M (For Meter)",61
2,5,4,45,"B, M, W","International Vehicle I.D. For You & Your Car If You're Both Walloons","B (For Belgium)",61
2,5,5,46,"B, M, W","Subatomic Particle Referred To As An Intermediate Vector Boson","A W Boson",61
2,6,1,50,"The Ultimate Diving Machine","He Designed A Steam-Powered Submarine As Well As The Steam-Powered Clermont","Fulton",61
2,6,2,51,"The Ultimate Diving Machine","This First Lady Christened The First U.S. Nuclear-Powered Submarine, The Nautilus","Mamie Eisenhower",61
2,6,3,52,"The Ultimate Diving Machine","The U.S. Naval Submarine School Is Located In Groton In This State","Connecticut",61
2,6,4,53,"The Ultimate Diving Machine","The Historical Claim To Fame Of The German Submarine Known As U-20 Was This Action On May 7, 1915","Sinking The Lusitania",61
2,6,5,54,"The Ultimate Diving Machine","For His Work In Developing Nuclear-Powered Subs, This Admiral Was Known As The 'Father Of The Atomic Submarine'","Hyman Rickover",61
3,1,1,59,"Baby Names","Of The Social Security Administration's Top 10 Boys' Names In 2000, The 2, Ending In The Same Letter, On A List Of The 12 Apostles","Matthew & Andrew",61
1,1,1,7,"No Soup For You!","Mungo,Mulligatawny, Menudo","Mungo",62
1,1,2,8,"No Soup For You!","Billi Bi,Billet-Doux,Bouillabaisse","Billet-Doux",62
1,1,3,9,"No Soup For You!","Poudrette,Stracciatella,Philadelphia Pepper Pot","Poudrette",62
1,1,4,10,"No Soup For You!","Chlodnik,Cock-A-Leekie,Kuttar","Kuttar",62
1,1,5,11,"No Soup For You!","Bourride,Rond De Jambe,Asopao De Pollo","Rond De Jambe",62
1,2,1,12,"Festivus","Days Celebrating People Going To Heaven Include Jesus' Ascension Day & Her Assumption Day","The Virgin Mary",62
1,2,2,13,"Festivus","Bitter Herbs Are Featured On This Holiday's Seder Plate","Passover",62
1,2,3,14,"Festivus","In 1939 Fdr Moved This Holiday One Week Earlier In An Attempt To Please The Retail Industry","Thanksgiving",62
1,2,4,15,"Festivus","In 1876 Montreal's Mount Royal Park Was Officially Inaugurated On May 24, A Canadian Holiday Because It's Her Birthday","Queen Victoria",62
1,2,5,16,"Festivus","In 1955 The Pope Moved The Service From This Observance, Including ST. John's Passion, To The Afternoon","Good Friday",62
1,3,1,1,"The Contest","In 1998 Rabbit Hash, Kentucky Elected Goofy, One Of These, As Mayor; Sadly, The Mayor Had To Be 'Put Down' In 2001","A Dog",62
1,3,2,17,"The Contest","Peter Ueberroth Finished Sixth In A 2003 Race For This State's Highest Office, Just Ahead Of Larry Flynt","California",62
1,3,3,18,"The Contest","This George W. Bush Cabinet Member Lost His 2000 Senate Race To A Man Who Died A Month Before The Election","John Ashcroft",62
1,3,4,19,"The Contest","1984 Walter Mondale Got His 13 Electoral Votes By Winning D.C. & This State","Minnesota",62
1,3,5,20,"The Contest","In 1884 A Booster's Attack On Democratic 'Rum, Romanism & Rebellion' Backfired On This Down Easter","James Blaine",62
1,4,2,29,"Yada Yada Yada","In A 1775 Speech He Declared, 'I Know Not What Course Others May TakE...' Yada Yada Yada","(Patrick) Henry",62
1,4,3,28,"Yada Yada Yada","In A 1974 National Tv Address He Conveyed, 'Our Long National Nightmare Is OveR...' Yada Yada Yada","Ford",62
1,4,4,27,"Yada Yada Yada","Before Congress In 1951, He Announced, 'I Now Close My Military CareeR...' Yada Yada Yada","Macarthur",62
1,4,5,26,"Yada Yada Yada","He Humbly Shared With The British In 1936: 'A Few Hours Ago I Discharged My Last Duty As KinG...' Yada Yada Yada","Edward VIII",62
1,5,1,21,"A Category About Nothing","Nothing, As A Tennis Score","Love",62
1,5,2,22,"A Category About Nothing","En Español","Nada",62
1,5,3,23,"A Category About Nothing","The 'Hour' For A Military Action To Start","Zero Hour",62
1,5,4,24,"A Category About Nothing","William Cowper: 'What Peaceful Hours I Once EnjoyeD... But They Have Left An Aching' This","Void",62
1,5,5,25,"A Category About Nothing","9-Letter Word For Lack Of Existence, Or A Person Of No Importance","Nonentity",62
1,6,1,2,"Some Brainteasers About Seinfeld","(Jerry Seinfeld Reads The CluE.) This Season 7 Episode Revealed That This Store Owner Was Based On A Real Person'very GooD. You Know Something?''Hm?''No Soup For You!'","The Soup Nazi",62
1,6,2,3,"Some Brainteasers About Seinfeld","'A Christmas Present?''That's RighT.''For Who?''For You!''Oh! Get Out Of Here!'(Julia Louis-Dreyfus [Elaine Benes] Reads The CluE.) In That Scene From Season 3, George's Gift To Elaine Was This Article Of Clothing--A Bargain Because Of A Flaw: A Small Red Dot","A Sweater",62
1,6,3,4,"Some Brainteasers About Seinfeld","'She Tells Me That Her Ex-Boyfriend Was Over Late Last Night And 'Yada Yada Yada', I'M Really Tired TodaY.'''What Do You Think She Was Tired From?''Well Obviously The 'Yada YadA.''(Jason Alexander [George Costanza] Reads The CluE.) That Was A Classic Scene From Season 8; 'Yada Yada Yada' Recently Made It Into One Edition Of This Venerable British Dictionary","The Oxford English Dictionary",62
1,6,4,5,"Some Brainteasers About Seinfeld","'I'M OuT.'(Michael Richards [Cosmo Kramer] Reads The CluE.) When He Wrote That Classic Episode From Season 4, This Seinfeld Co-Creator Turned Curbing His Enthusiasm Into An Emmy","Larry David",62
1,6,5,6,"Some Brainteasers About Seinfeld","(Jerry Seinfeld Reads The CluE.) Kramer Dated A 'Low-Talker' Who Designed This, Also The Title Of The Episode From Season 5'I... I Can't Wear This!''Hey, This Looks Better Than Anything You OwN.'","The Puffy Shirt",62
2,1,1,38,"Zoology","Giraffes Are Divided By Sex Into Cows & These","Bulls",62
2,1,2,40,"Zoology","While Swimming, The Anaconda Can Close Off A Valve Inside These To Keep Water Out","Its Nostrils",62
2,1,3,41,"Zoology","It's The Common Litter Size Of Llamas, Hippos & Kangaroos","One",62
2,1,4,46,"Zoology","One Type Of Terrier Was Specially Bred In England To Hunt This Other Member Of The Dog Family","The Fox",62
2,1,5,47,"Zoology","As It's A Fave Of Caribou, The Lichen They Eat Is Called This Moss","Reindeer Moss",62
2,2,3,57,"Pro Sports Venues","The Detroit Red Wings' Rink","Joe Louis Arena",62
2,2,4,56,"Pro Sports Venues","The New York Islanders' Home Ice","Nassau Coliseum",62
2,2,5,55,"Pro Sports Venues","...And The Home Of The (Atlanta) Braves","Turner Field",62
2,3,1,48,"Funny Hats","This 'Grand Ole Opry' Comedy Star Used To Wear A Straw Hat With The $1.98 Price Tag Still Attached","Minnie Pearl",62
2,3,2,49,"Funny Hats","Featured In The 'Harry Potter' Movies, This Hat Takes Its Name From Its Function At Hogwarts School","The Sorting Hat",62
2,3,3,50,"Funny Hats","Goya Liked To Paint At Night, So He Wore A Hat Rimmed With These","Candles",62
2,3,4,51,"Funny Hats","The Name Of This Often Brimless Hat, Popular In The 1920s, Is French For 'Bell', After The Shape Of The Hat","A Cloche",62
2,3,5,52,"Funny Hats","In Wagner's Operas, This Eldest Valkyrie Is Stereotypically Dressed In A Horned Helmet & Breastplate","Brunhilde",62
2,4,1,39,"Patton Pending","In 1909 George S. Patton Graduated 46th Out Of 103 At This Institution","West Point",62
2,4,2,42,"Patton Pending","Patton Placed 5th At The 1912 Olympics In This Event That Includes Swimming, Fencing & The Pistol","The Modern Pentathlon",62
2,4,3,43,"Patton Pending","In 1916 Patton Was An Acting Aide To This Man, Commander Of Wwi's American Expenditionary Forces","Pershing",62
2,4,4,44,"Patton Pending","On December 26, 1944 Patton's Forces Relieved This Town In Belgium's Ardennes; The Germans Were Driven Out In January","Bastogne",62
2,4,5,45,"Patton Pending","A Few Feet Of The 998 Square Miles Of This European Country Are Patton's Grave In The American Cemetery","Luxembourg",62
2,5,1,35,"Grab Bag","Tom Kelly Took The 1949 Nude Photographs Of This Actress That Later Appeared On The Calendar 'Golden Dreams'","Marilyn Monroe",62
2,5,2,36,"Grab Bag","A Wavy Fabric Made By Twisting & Then Relaxing Yarn, It's Also Found Before 'De Chine'","Crêpe",62
2,5,3,37,"Grab Bag","In 1956 The First Transatlantic Telephone Cable Was Laid Between Oban, Scotland & Clarenville In This Canadian Province","Newfoundland",62
2,5,4,53,"Grab Bag","The Most Popular Color For This November Birthstone Is A Rich Orange-Yellow, Like The Color Of Sherry","Topaz",62
2,5,5,54,"Grab Bag","This Ballets Russes Founder Had Tried To Be A Composer, But Rimsky-Korsakov Told Him To Stop","Diaghilev",62
2,6,1,30,"Slang","Wifebeater Is A Controversial Slang Term For This Ribbed White Item Of Apparel","Sleeveless Undershirt (Or A Tank Top)",62
2,6,2,31,"Slang","This Kind Of Fruit Is A Bronx Cheer","Raspberry",62
2,6,3,32,"Slang","This Slang Term For A Fool Or Dolt Is Also The Name Of One Of Archie's Riverdale Friends","Jughead",62
2,6,4,33,"Slang","A University Seminar On Slang Revealed That An Unwelcome Follower Is Known As A Hanging This","Chad",62
2,6,5,34,"Slang","From The Latin For 'Duchy', It's Slang For Money Or For A Show Ticket","Ducat",62
3,1,1,58,"Business & Industry","Most Of This Firm's 70,000 Seasonal White-Collar Employees Work Only 4 Months A Year","H&R Block",62
1,1,1,11,"December 1st","DeC. 1, 1969: The Selective Service Conducts The First Lottery For This Since World War II","The Draft",63
1,1,2,19,"December 1st","1959: 12 Countries Including The U.S. & The U.S.S.R. Sign A Treaty To Keep This Continent A Scientific Preserve","Antarctica",63
1,1,3,20,"December 1st","1952: The New York Daily News Reports George Jorgensen Is Now Her After A Visit To Denmark","Christine",63
1,1,4,21,"December 1st","1822: Dom Pedro Is Crowned Emperor Of This Western Hemisphere Nation","Brazil",63
1,1,5,22,"December 1st","1941: The C.A.P., This Nonmilitary U.S. Air Force Auxiliary, Is Created","The Civil Air Patrol",63
1,2,1,7,"A Jim Carrey Film Festival","'Blast This Christmas Music! It's Joyful And Triumphant'","How The Grinch Stole Christmas",63
1,2,2,8,"A Jim Carrey Film Festival","'Riddle Me This, Riddle Me That, Who's Afraid Of The Big Black Bat?'","Batman Forever",63
1,2,3,9,"A Jim Carrey Film Festival","'Good Morning! And In Case I Don't See You, Good Afternoon, Good Evening, And Good Night!'","The Truman Show",63
1,2,4,10,"A Jim Carrey Film Festival","'HI. Is There A Problem With Your Service?'","The Cable Guy",63
1,2,5,18,"A Jim Carrey Film Festival","'Here I Come To Save The Day!'","Man On The Moon",63
1,3,1,6,"Sounds All Around","It Can Be A Continuous Low Humming Sound Or A Male Bee","Drone",63
1,3,2,17,"Sounds All Around","If You Listen To Your Heart Using A Stethoscope, You'll Hear The Sound Of These Flaps Opening & Closing","Valves",63
1,3,3,23,"Sounds All Around","In Part Of The Capitol Dome, You Can Clearly Hear Distant Sounds, Making It This Kind Of 'Gallery'","A Whispering Gallery",63
1,3,4,24,"Sounds All Around","The Name Of This Instrument Comes From The Italian For 'Little Goose'","An Ocarina",63
1,3,5,25,"Sounds All Around","This Rude Noise Is The Last Name Of Toby, A Character In 'Twelfth Night'","Belch",63
1,4,3,26,"Ask Your DoctoR...","...If Paxil Is The Appropriate Treatment For Panic Attacks Or Ocd, Which Stands For This","Obsessive-Compulsive Disorder",63
1,4,4,28,"Ask Your DoctoR...","...About This, America's NO. 1 Prescribed Sleep Aid That 'Works Like A Dream'","Ambien",63
1,4,5,27,"Ask Your DoctoR...","...About Taking Omeprazole, Sold Under This Brand Name And Available Over The Counter, To Treat Acid Reflux Disease","Prilosec",63
1,5,1,12,"Forever 39","There Were 39 Signers Of This 1787 Document","The Constitution",63
1,5,2,13,"Forever 39","In 2003 This Team Won Its 39th Pennant, A Major League Baseball Record","The New York Yankees",63
1,5,3,14,"Forever 39","This President Was 39 When He Won A Pulitzer Prize","John F. Kennedy",63
1,5,4,15,"Forever 39","This Welsh Poet Did Not Go Gentle Into That Good Night But Died At Age 39 In Nyc After Drinking 18 Whiskies","Dylan Thomas",63
1,5,5,16,"Forever 39","There Are 39 Stories In These Nathaniel Hawthorne 'Tales'","Twice-Told Tales",63
1,6,1,1,"'B' Brave","It's Forcing People To Pay Money By Threatening To Reveal Their Embarrassing Secrets","Blackmail",63
1,6,2,2,"'B' Brave","Movie 007 NO. 6","Pierce Brosnan",63
1,6,3,3,"'B' Brave","192 People Were Killed Trying To Cross This Infamous Barrier","The Berlin Wall",63
1,6,4,4,"'B' Brave","From The Latin For A Type Of Hawk, It's The Word Commonly Applied In The U.S. To A Turkey Vulture","A Buzzard",63
1,6,5,5,"'B' Brave","It's The Marine Activity Seen Here","Breaching",63
2,1,1,49,"Let's Get Creative","Picasso's Patrons Included This Expatriate American Writer & Her Brother Leo","Gertrude Stein",63
2,1,2,50,"Let's Get Creative","Luca Della Robbia Was Famous For His Reliefs In This Type Of Clay Earthenware","Terra Cotta",63
2,1,3,51,"Let's Get Creative","This 'Grand' Parisian Theatre Shares Its Name With The French Equivalent Of The British Puppet Punch","Guignol",63
2,1,4,52,"Let's Get Creative","The Black Lace Made In The Town Of Chantilly Was Exported To Spain & Made Into These Spanish Head Coverings","Mantillas",63
